font,l1_inf,iou_inf,ssim_inf,l1_64,iou_64,ssim_64,l1_128,iou_128,ssim_128,l1_256,iou_256,ssim_256
00,0.09356219951923077,0.19567079587533412,0.6321865083487104,0.09491905799278846,0.19607524236869095,0.6295768886456935,0.09394249549278846,0.1960256775108893,0.6315874853581439,0.09358567457932693,0.19600254323337457,0.6320056333028499
01,0.14730130709134615,0.36112859785476353,0.47552703377157035,0.148681640625,0.35731784032697733,0.4722918453240007,0.14829664963942307,0.35860227486325374,0.4730256930077929,0.14716984675480768,0.36109605028582864,0.47530678228735496
02,0.14341853215144232,0.41227022707324257,0.44795924783389707,0.1438880333533654,0.41179788774056786,0.4462108078745914,0.14469088040865385,0.40905254494536486,0.44564416941073887,0.14351243239182693,0.41192771115041865,0.4476207677443002
03,0.12353985126201923,0.25057675105621197,0.5297406545924856,0.13474684495192307,0.2138139544713803,0.5115122644992827,0.13286884014423078,0.22816222785031068,0.5245430166114761,0.1253943810096154,0.24139173587514318,0.5268601080018411
04,0.14485520582932693,0.39890496146194415,0.5053733902553825,0.14668156550480768,0.39454961403719807,0.49640911124288434,0.14625901442307693,0.39466152109116764,0.5018880185715581,0.14490215594951922,0.39915254466080063,0.5057514872014129
05,0.10703218900240384,0.4738195809789679,0.6585586179166865,0.11865703876201923,0.43774538137819086,0.6275082291672877,0.11067551832932693,0.46307081417657747,0.6498615832786836,0.10764723557692307,0.4714507234076485,0.6573066230562922
06,0.16167273888221154,0.3417614218899455,0.43261274131062033,0.16420804537259615,0.3376745288203997,0.4293644149629859,0.16429255558894232,0.33696160953286847,0.42868214482151157,0.1620201697716346,0.3413244368352584,0.4321693105566226
07,0.16752272385817307,0.4373544982089673,0.43683462505703285,0.16915189302884615,0.4338228294664016,0.4286295280571236,0.16909085787259615,0.4335955692302156,0.43426120470904095,0.16725510817307693,0.43775784075273294,0.4367180964002007
08,0.15986985426682693,0.30082065779211886,0.4904876613348155,0.16856032151442307,0.2799256019494831,0.4741888922402773,0.16333477313701922,0.29357641251873484,0.48584455692792006,0.16095909705528846,0.29813069975072204,0.4892169510206425
09,0.10841721754807693,0.2579980999876878,0.5425965984305576,0.108154296875,0.2598462433363342,0.5432939121141042,0.10896653395432693,0.2559876742613021,0.5418155594004476,0.10820594200721154,0.2587934406767964,0.542625053512263
10,0.14415564903846154,0.22506726561750648,0.48834646157745704,0.1450477013221154,0.22474734215532402,0.48585229655054374,0.14581298828125,0.22100361450791198,0.48554344820667894,0.14444673978365385,0.22442304849565603,0.48765742945561324
11,0.092041015625,0.19291117028836138,0.5772418346165846,0.0926654522235577,0.19219711639852205,0.5745738991708813,0.09204571063701923,0.19323776088382275,0.5766314688084953,0.09231332632211539,0.1924677354911442,0.5767291795169546
12,0.17827899639423078,0.32907536231137857,0.4055324678660125,0.1808189978966346,0.32319650219651164,0.4013324115218947,0.18068753756009615,0.3227665429701804,0.40309706313523985,0.17804424579326922,0.3292105045476678,0.405851184279985
13,0.1546349158653846,0.37828955481547466,0.47670746354176374,0.155517578125,0.3785597574202904,0.4745600627626939,0.15515606219951922,0.37746625148059265,0.475718848138403,0.15459266075721154,0.3793469289094204,0.4767470703996587
14,0.16107177734375,0.5296614627660202,0.42940353850747737,0.16243802584134615,0.5275810114734907,0.42212888258464765,0.16227839543269232,0.5269976870571479,0.42702354432834577,0.16103421724759615,0.5297611086363785,0.4294926464796116
15,0.16998760516826922,0.4973292372456838,0.3895387034416007,0.16960730919471154,0.5009454896388401,0.38772326371051846,0.17200646033653846,0.4943093187245633,0.3871921556422818,0.16989839993990385,0.4980250795203269,0.3897476860166894
16,0.14250300480769232,0.6479773157533971,0.4103115531849631,0.14209453876201922,0.649868336187947,0.4096655412498699,0.1435875525841346,0.6461896391736612,0.4084491085970078,0.14243727463942307,0.648313788565689,0.4104719593707975
17,0.09862342247596154,0.22113335648536692,0.5685463010169194,0.09885347806490384,0.22290521112947356,0.5671531945821983,0.09920560396634616,0.2182290904257974,0.5671133535457622,0.09886756310096154,0.22043156374292033,0.5680870404664276
18,0.08359468900240384,0.16553792535481943,0.6009262192149151,0.0848247821514423,0.16412517204794408,0.5973305965041698,0.08405010516826923,0.16501936087289115,0.5993268640103238,0.08356651893028846,0.1656681859850844,0.6007026454602032
19,0.1361083984375,0.5001707457903704,0.4657346060198479,0.13689246544471154,0.4964579484349295,0.4614768515808031,0.13752159705528846,0.49587801628596434,0.46354995465255355,0.13610370342548078,0.5001423163040829,0.4660160160179024
20,0.16462120643028846,0.6411677215140592,0.4623070114857095,0.17271540715144232,0.6287604241301122,0.4432335373338772,0.16935377854567307,0.6330093168476393,0.4553598806146031,0.167724609375,0.63427516644467,0.4599616136559713
21,0.18072509765625,0.22107696683853326,0.40716251508727874,0.18259371243990385,0.217460100080362,0.4007631897638427,0.18238713191105768,0.2157006104545762,0.405196725494111,0.1809363731971154,0.21950697839417296,0.406631212978242
22,0.13628211388221154,0.3833344587345673,0.5130139603530516,0.14188795823317307,0.3670772984143129,0.5011200405069097,0.13884559044471154,0.3775537205553414,0.5093866658694195,0.13905686598557693,0.37545289775949375,0.512279690763129
23,0.15622652493990385,0.37975111519405186,0.43640651108571427,0.15745661808894232,0.37818071516666873,0.43413557556908494,0.15755051832932693,0.3765880023053407,0.43471339323051966,0.15653639573317307,0.3794252233594199,0.43639824141978273
24,0.12415489783653846,0.548644513819727,0.5786684481295491,0.13520695612980768,0.5202795245365087,0.5485844057889043,0.1304649939903846,0.5321830862901019,0.5695385228637351,0.12770432692307693,0.5371994746376655,0.5769115397642136
25,0.13128192608173078,0.38779164247504816,0.5066832682088424,0.14136211688701922,0.36025552750312567,0.48453248488541334,0.13526329627403846,0.37648380661106984,0.5006587787229305,0.13271390474759615,0.3826634514460285,0.505795728757701
26,0.17363562950721154,0.3510350004129581,0.485659341746739,0.17889404296875,0.34143794198534044,0.46739731012129593,0.17742450420673078,0.3419310161836701,0.47891374661969344,0.1747154822716346,0.34621513496145123,0.484022846178512
27,0.18011474609375,0.5949293209528889,0.34802514210123786,0.1810584435096154,0.592342750253705,0.3474264127806305,0.18201153094951922,0.5914482052118617,0.34696217798399387,0.18019925631009615,0.594724877310477,0.34742209422654924
28,0.12383094200721154,0.4402214245447984,0.5518252268402107,0.12965275691105768,0.4220239902203098,0.5363321463528666,0.12699068509615385,0.4310815739515342,0.5467101016624671,0.12420184795673077,0.4385309810933538,0.5512784203957103
29,0.14360163762019232,0.2966420809033674,0.5321054804387612,0.14559232271634615,0.2974260890874694,0.5226652726654649,0.14489276592548078,0.2969608683116177,0.529895169047774,0.14354529747596154,0.29746433131494937,0.5310468519297805
30,0.16753680889423078,0.5075056567599473,0.43247307037306193,0.16861666165865385,0.505607213617898,0.4259611157363328,0.16902043269230768,0.5048396726267904,0.42964783163594117,0.16766826923076922,0.5072253058161937,0.43223415497897927
31,0.09973614032451923,0.1950142529362903,0.5746680772742452,0.10106952373798077,0.1922595423749169,0.5708827927485128,0.09991455078125,0.19508660430300676,0.5739402831779531,0.09967980018028846,0.19620273980408243,0.5746449180055391
32,0.13694411057692307,0.3113801974947591,0.48232021229799354,0.1379723182091346,0.30930888531564116,0.47971140353174435,0.1380943885216346,0.3078389348035583,0.4801113250957496,0.13700984074519232,0.31104230229273794,0.48223639179930405
33,0.1988807091346154,0.2469484987031108,0.4391782960054158,0.19904033954326922,0.24802538342409927,0.43323430596031015,0.20005915715144232,0.24478153954713508,0.43486610193401637,0.19841120793269232,0.24692021792580124,0.4401385218983251
