lang,model,font_idx,char_idx,l1,iou
chn,baseline,0000,0,0.07129,0.00000
chn,baseline,0000,1,0.05029,0.10823
chn,baseline,0000,2,0.09058,0.20043
chn,baseline,0000,3,0.09375,0.10698
chn,baseline,0000,4,0.04810,0.30634
chn,baseline,0000,5,0.08521,0.14039
chn,baseline,0000,6,0.06226,0.39573
chn,baseline,0000,7,0.05444,0.38056
chn,baseline,0000,8,0.06201,0.17532
chn,baseline,0000,9,0.10840,0.19856
chn,baseline,0000,10,0.07275,0.15581
chn,baseline,0000,11,0.05957,0.17007
chn,baseline,0000,12,0.09399,0.09836
chn,baseline,0000,13,0.16577,0.15965
chn,baseline,0000,14,0.07617,0.16800
chn,baseline,0000,15,0.07544,0.22556
chn,baseline,0000,16,0.07739,0.04230
chn,baseline,0000,17,0.07202,0.22164
chn,baseline,0000,18,0.10132,0.17822
chn,baseline,0000,19,0.14966,0.12926
chn,baseline,0000,20,0.11914,0.12388
chn,baseline,0000,21,0.07935,0.00000
chn,baseline,0000,22,0.08398,0.19438
chn,baseline,0000,23,0.10156,0.35504
chn,baseline,0000,24,0.15625,0.33884
chn,baseline,0000,25,0.09229,0.10214
chn,baseline,0000,26,0.09204,0.11710
chn,baseline,0000,27,0.08203,0.30579
chn,baseline,0000,28,0.15723,0.13904
chn,baseline,0000,29,0.16333,0.12435
chn,baseline,0000,30,0.11816,0.09363
chn,baseline,0000,31,0.18091,0.24233
chn,baseline,0000,32,0.10181,0.23346
chn,baseline,0000,33,0.09302,0.16993
chn,baseline,0000,34,0.11108,0.22089
chn,baseline,0000,35,0.11035,0.07943
chn,baseline,0000,36,0.08887,0.11220
chn,baseline,0000,37,0.05249,0.00000
chn,baseline,0000,38,0.06543,0.06620
chn,baseline,0000,39,0.08130,0.09756
chn,baseline,0000,40,0.11792,0.00000
chn,baseline,0000,41,0.09644,0.28182
chn,baseline,0000,42,0.09546,0.05097
chn,baseline,0000,43,0.11597,0.08124
chn,baseline,0000,44,0.06372,0.14706
chn,baseline,0000,45,0.12549,0.22939
chn,baseline,0000,46,0.06079,0.25449
chn,baseline,0000,47,0.09937,0.09956
chn,baseline,0000,48,0.05420,0.13953
chn,baseline,0000,49,0.07446,0.08955
chn,baseline,0000,50,0.11914,0.17845
chn,baseline,0000,51,0.09326,0.27652
chn,baseline,0001,0,0.08765,0.43906
chn,baseline,0001,1,0.03003,0.62952
chn,baseline,0001,2,0.12524,0.46729
chn,baseline,0001,3,0.09619,0.44663
chn,baseline,0001,4,0.14233,0.25448
chn,baseline,0001,5,0.08984,0.54057
chn,baseline,0001,6,0.10742,0.52941
chn,baseline,0001,7,0.11597,0.43787
chn,baseline,0001,8,0.16162,0.20048
chn,baseline,0001,9,0.13062,0.46231
chn,baseline,0001,10,0.09082,0.45214
chn,baseline,0001,11,0.11743,0.43211
chn,baseline,0001,12,0.10034,0.47104
chn,baseline,0001,13,0.10400,0.58560
chn,baseline,0001,14,0.12036,0.48051
chn,baseline,0001,15,0.14453,0.10843
chn,baseline,0001,16,0.10132,0.38060
chn,baseline,0001,17,0.12256,0.43722
chn,baseline,0001,18,0.13306,0.42021
chn,baseline,0001,19,0.12207,0.46695
chn,baseline,0001,20,0.16357,0.33729
chn,baseline,0001,21,0.17798,0.03059
chn,baseline,0001,22,0.18335,0.32281
chn,baseline,0001,23,0.15869,0.31651
chn,baseline,0001,24,0.11792,0.55112
chn,baseline,0001,25,0.11523,0.47439
chn,baseline,0001,26,0.07690,0.61818
chn,baseline,0001,27,0.20239,0.25181
chn,baseline,0001,28,0.12378,0.54570
chn,baseline,0001,29,0.12085,0.41001
chn,baseline,0001,30,0.10181,0.56608
chn,baseline,0001,31,0.11597,0.49947
