run,n_ckpts_scored,epoch_val_metric,epoch_render,agree,render_l1_at_val_metric_pick,render_l1_at_render_pick,cost_of_val_metric
rv_e11_adamw_1111_chn_main_model,7,150,150,yes,0.137758,0.137758,+0.000000
rv_e11_adamw_2222_chn_main_model,7,75,150,no,0.164817,0.135512,+0.029305
rv_e11_adamw_3333_chn_main_model,7,100,150,no,0.154741,0.127679,+0.027062
rv_e1_norm_1111_chn_main_model,7,150,150,yes,0.148876,0.148876,+0.000000
rv_e1_norm_2222_chn_main_model,7,100,150,no,0.164451,0.148231,+0.016220
rv_e1_norm_3333_chn_main_model,7,100,150,no,0.164534,0.141135,+0.023399
rv_e2_batchnorm_1111_chn_main_model,7,150,150,yes,0.136059,0.136059,+0.000000
rv_e2_batchnorm_2222_chn_main_model,7,75,150,no,0.165316,0.133504,+0.031812
rv_e2_batchnorm_3333_chn_main_model,7,100,150,no,0.148235,0.131402,+0.016833
rv_e3_refine2_1111_chn_main_model,7,100,150,no,0.149371,0.130538,+0.018833
rv_e3_refine2_2222_chn_main_model,7,75,150,no,0.162108,0.131178,+0.030930
rv_e3_refine2_3333_chn_main_model,7,100,150,no,0.155166,0.134726,+0.020440
rv_e4_ngf32_1111_chn_main_model,7,75,150,no,0.157540,0.135902,+0.021638
rv_e4_ngf32_2222_chn_main_model,7,150,150,yes,0.139215,0.139215,+0.000000
rv_e4_ngf32_3333_chn_main_model,7,75,150,no,0.162114,0.128309,+0.033805
rv_e5_bneck256_1111_chn_main_model,7,125,150,no,0.129816,0.124766,+0.005050
rv_e5_bneck256_2222_chn_main_model,7,50,150,no,0.174115,0.128343,+0.045772
rv_e5_bneck256_3333_chn_main_model,7,100,150,no,0.155701,0.128165,+0.027536
rv_e7_aux01_1111_chn_main_model,7,150,150,yes,0.137538,0.137538,+0.000000
rv_e7_aux01_2222_chn_main_model,7,100,150,no,0.153375,0.130789,+0.022586
rv_e7_aux01_3333_chn_main_model,7,100,150,no,0.145521,0.127623,+0.017898
rv_e9_sigma050_1111_chn_main_model,7,75,150,no,0.165271,0.135960,+0.029311
rv_e9_sigma050_2222_chn_main_model,7,100,150,no,0.148342,0.124826,+0.023516
rv_e9_sigma050_3333_chn_main_model,7,100,150,no,0.148594,0.122783,+0.025811
rv_seedfloor_1111_chn_main_model,7,150,150,yes,0.139626,0.139626,+0.000000
rv_seedfloor_2222_chn_main_model,7,100,150,no,0.150963,0.133613,+0.017350
rv_seedfloor_3333_chn_main_model,7,100,150,no,0.145128,0.128264,+0.016864
